day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,power_w_avg,power_w_max,energy_wh,temp_c_min,temp_c_avg,temp_c_max,boot_count_max,scaled_channels
2020-05-21,2020-05-21T00:00:00Z,578.0,578.0,22.0,2.822,3.532,,,2082.0,2352.0,,,,,,,,,620.0,solar_v
2020-05-22,2020-05-22T00:00:00Z,688.0,688.0,24.0,2.802,3.532,,,2110.0,2334.0,,,,,,,,,1326.0,solar_v
2020-05-23,2020-05-23T00:00:00Z,707.0,707.0,24.0,2.812,3.532,,,2124.0,2331.0,,,,,,,,,2034.0,solar_v
2020-05-24,2020-05-24T00:00:00Z,707.0,707.0,24.0,2.822,3.532,,,2019.0,2334.0,,,,,,,,,2743.0,solar_v
2020-05-25,2020-05-25T00:00:00Z,684.0,684.0,24.0,2.866,3.532,,,2052.0,2237.0,,,,,,,,,3448.0,solar_v
2020-05-26,2020-05-26T00:00:00Z,659.0,659.0,24.0,2.652,3.532,,,1932.0,2181.0,,,,,,,,,4149.0,solar_v
2020-05-27,2020-05-27T00:00:00Z,683.0,683.0,24.0,2.823,3.532,,,1987.0,2349.0,,,,,,,,,4855.0,solar_v
2020-05-28,2020-05-28T00:00:00Z,679.0,679.0,24.0,2.794,3.532,,,2053.0,2227.0,,,,,,,,,5560.0,solar_v
2020-05-29,2020-05-29T00:00:00Z,645.0,645.0,24.0,2.661,3.532,,,1943.0,2136.0,,,,,,,,,6260.0,solar_v
2020-05-30,2020-05-30T00:00:00Z,706.0,706.0,24.0,2.664,3.532,,,1938.0,2136.0,,,,,,,,,6968.0,solar_v
2020-05-31,2020-05-31T00:00:00Z,702.0,702.0,24.0,2.566,3.532,,,1952.0,2129.0,,,,,,,,,7675.0,solar_v
2020-06-01,2020-06-01T00:00:00Z,668.0,668.0,24.0,2.557,3.532,,,1948.0,2131.0,,,,,,,,,8378.0,solar_v
2020-06-02,2020-06-02T00:00:00Z,650.0,650.0,24.0,2.582,3.532,,,1953.0,2138.0,,,,,,,,,9079.0,solar_v
2020-06-03,2020-06-03T00:00:00Z,641.0,641.0,24.0,2.584,3.532,,,1943.0,2243.0,,,,,,,,,9779.0,solar_v
2020-06-04,2020-06-04T00:00:00Z,654.0,654.0,24.0,2.842,3.532,,,2144.0,2247.0,,,,,,,,,10112.0,solar_v
2020-06-05,2020-06-05T00:00:00Z,668.0,668.0,24.0,2.781,3.532,,,0.0,2290.0,,,,,,,,,1072.0,solar_v
2020-06-06,2020-06-06T00:00:00Z,691.0,691.0,24.0,2.831,3.532,,,2230.0,2574.0,,,,,,,,,1780.0,solar_v
2020-06-07,2020-06-07T00:00:00Z,705.0,705.0,24.0,2.836,3.532,,,2225.0,2546.0,,,,,,,,,2489.0,solar_v
2020-06-08,2020-06-08T00:00:00Z,703.0,703.0,24.0,2.759,3.532,,,1938.0,2518.0,,,,,,,,,3197.0,solar_v
2020-06-09,2020-06-09T00:00:00Z,206.0,206.0,8.0,1.811,1.92,,,1669.0,1948.0,,,,,,,,,3313.0,solar_v
2020-06-10,2020-06-10T00:00:00Z,440.0,440.0,16.0,0.538,1.189,,,0.0,1379.0,,,,,,,,,445.0,solar_v
2020-06-11,2020-06-11T00:00:00Z,322.0,322.0,12.0,0.239,1.085,,,0.0,1365.0,,,,,,,,,771.0,solar_v
2020-06-12,2020-06-12T00:00:00Z,2.0,2.0,2.0,0.601,1.202,,,0.0,1431.0,,,,,,,,,1.0,solar_v
